"scheme","variable","bucket","member","weight"
"pool","cpi_inflation","far","small_loose_p5",0.0272727753382688
"pool","cpi_inflation","far","medium_minn",0.0272727702447321
"pool","cpi_inflation","far","medium_conj",0.0272734666259139
"pool","cpi_inflation","far","small_tight",0.0272755106173039
"pool","cpi_inflation","far","rw",0.272842776233077
"pool","cpi_inflation","far","ar4",0.125255243239269
"pool","cpi_inflation","far","ucsv",0.0272728023070852
"pool","cpi_inflation","far","ucmean",0.38370927332275
"pool","unemp_rate","near","small_minn",0.0272743282225101
"pool","unemp_rate","near","small_ss",0.189934901352955
"pool","unemp_rate","near","small_sv",0.0272727311730309
"pool","unemp_rate","near","small_loose_p5",0.0716052919804039
"pool","unemp_rate","near","medium_minn",0.481105094003522
"pool","unemp_rate","near","medium_conj",0.0272727355522864
"pool","unemp_rate","near","small_tight",0.0272727281803263
"pool","unemp_rate","near","rw",0.0272727468800021
"pool","unemp_rate","near","ar4",0.0272727275191972
"pool","unemp_rate","near","ucsv",0.0272727272818206
"pool","unemp_rate","near","ucmean",0.0664439878539455
"pool","unemp_rate","medium","small_minn",0.0273968744637601
"pool","unemp_rate","medium","small_ss",0.272227392352812
"pool","unemp_rate","medium","small_sv",0.0272739976237963
"pool","unemp_rate","medium","small_loose_p5",0.0272748001082548
"pool","unemp_rate","medium","medium_minn",0.387123127547981
"pool","unemp_rate","medium","medium_conj",0.0272752927655503
"pool","unemp_rate","medium","small_tight",0.0272763299320612
"pool","unemp_rate","medium","rw",0.0273003937013588
"pool","unemp_rate","medium","ar4",0.0272740483091858
"pool","unemp_rate","medium","ucsv",0.0441661075114567
"pool","unemp_rate","medium","ucmean",0.105411635683783
"pool","unemp_rate","far","small_minn",0.0272855995814556
"pool","unemp_rate","far","small_ss",0.296829863453772
"pool","unemp_rate","far","small_sv",0.027273569780746
"pool","unemp_rate","far","small_loose_p5",0.093244791044848
"pool","unemp_rate","far","medium_minn",0.39172543931793
"pool","unemp_rate","far","medium_conj",0.0272728381085092
"pool","unemp_rate","far","small_tight",0.0272736586908198
"pool","unemp_rate","far","rw",0.0272731556278543
"pool","unemp_rate","far","ar4",0.0272727324488551
"pool","unemp_rate","far","ucsv",0.0272756022968904
"pool","unemp_rate","far","ucmean",0.0272727496483186
"pool","cash_rate","near","small_minn",0.0272749188846239
"pool","cash_rate","near","small_ss",0.0272728483708199
"pool","cash_rate","near","small_sv",0.518184925699158
"pool","cash_rate","near","small_loose_p5",0.0272727876794507
"pool","cash_rate","near","medium_minn",0.102724144356965
"pool","cash_rate","near","medium_conj",0.138894708860137
"pool","cash_rate","near","small_tight",0.0272727510354685
"pool","cash_rate","near","rw",0.0272728118870023
"pool","cash_rate","near","ar4",0.0492845702852079
"pool","cash_rate","near","ucsv",0.0272727979664484
"pool","cash_rate","near","ucmean",0.0272727349747181
"pool","cash_rate","medium","small_minn",0.0272737375193866
"pool","cash_rate","medium","small_ss",0.0272727510703043
"pool","cash_rate","medium","small_sv",0.0272727279375531
"pool","cash_rate","medium","small_loose_p5",0.0272727279061948
"pool","cash_rate","medium","medium_minn",0.027272735289238
"pool","cash_rate","medium","medium_conj",0.160203123422005
"pool","cash_rate","medium","small_tight",0.0272727323327695
"pool","cash_rate","medium","rw",0.419567601446199
"pool","cash_rate","medium","ar4",0.0272753120198938
"pool","cash_rate","medium","ucsv",0.0272727475953358
"pool","cash_rate","medium","ucmean",0.20204380346112
"pool","cash_rate","far","small_minn",0.0272732644206862
