"member","variable","measure","h","logdens","crps","rmse"
"combo_logscore","cash_rate","q",11,-2.5337858091955,1.62749325316678,2.69992341511622
"combo_logscore","cash_rate","q",12,-2.63478039434906,1.7579343714086,2.86892064942383
"combo_logscore","cash_rate","q",2,-0.592432688142267,0.235108157990146,0.450142996613269
"combo_logscore","cash_rate","q",3,-1.01380998652965,0.361961486272656,0.682837179769017
"combo_logscore","cash_rate","q",4,-1.3903887473592,0.531672935725474,0.974890381411645
"combo_logscore","cash_rate","q",5,-1.63240447893588,0.746128309101236,1.41010446497609
"combo_logscore","cash_rate","q",6,-1.8535702013709,0.90750041630922,1.66479976096859
"combo_logscore","cash_rate","q",7,-2.05151640723331,1.06972125561588,1.91069834510594
"combo_logscore","cash_rate","q",8,-2.1998745643575,1.22322574773095,2.14141990597628
"combo_logscore","cash_rate","q",9,-2.30652657578234,1.35495417530402,2.3028057522108
"combo_logscore","cpi_inflation","cum",10,-3.52539454582223,2.82515160241592,4.5960218008417
"combo_logscore","cpi_inflation","cum",11,-3.75439472426138,3.20525655921395,5.12136548494926
"combo_logscore","cpi_inflation","cum",12,-3.94205507972275,3.59159850471439,5.66815421014181
"combo_logscore","cpi_inflation","cum",2,-0.663116002948766,0.296730021860869,0.567452237371046
"combo_logscore","cpi_inflation","cum",3,-1.17346623308175,0.495041916282784,0.951004984378825
"combo_logscore","cpi_inflation","cum",4,-1.58772604291814,0.72854879390814,1.38777319021365
"combo_logscore","cpi_inflation","cum",5,-2.0709663731608,1.06561300569524,1.92471763638098
"combo_logscore","cpi_inflation","cum",6,-2.39571691067475,1.35335036204761,2.39741740372423
"combo_logscore","cpi_inflation","cum",7,-2.74573547675475,1.7002764734576,2.91623833451644
"combo_logscore","cpi_inflation","cum",8,-3.09086241826217,2.07546213875008,3.45213053393564
"combo_logscore","cpi_inflation","cum",9,-3.26435755276184,2.406077971253,4.01907479396806
"combo_logscore","cpi_inflation","q",1,0.0295024836925462,0.13678502647524,0.261032319353289
"combo_logscore","cpi_inflation","q",10,-1.44178706655363,0.404411963960463,0.676023881604296
"combo_logscore","cpi_inflation","q",11,-1.46032779792448,0.410591471123842,0.667814607554745
"combo_logscore","cpi_inflation","q",12,-1.50808216179883,0.40848277520356,0.653863423508474
"combo_logscore","cpi_inflation","q",2,-0.197778397864816,0.180937294127246,0.344647920167631
"combo_logscore","cpi_inflation","q",3,-0.448043300350168,0.222524690747524,0.423906794013406
"combo_logscore","cpi_inflation","q",4,-0.678269745253957,0.263431321555926,0.4870941225576
"combo_logscore","cpi_inflation","q",5,-0.843227591051575,0.297229098664095,0.532122535861876
"combo_logscore","cpi_inflation","q",6,-1.09102758311251,0.319895155473439,0.558429213278739
"combo_logscore","cpi_inflation","q",7,-1.28582195005007,0.346346252038592,0.598476502635702
"combo_logscore","cpi_inflation","q",8,-1.4132787589029,0.364528243337033,0.625391177465673
"combo_logscore","cpi_inflation","q",9,-1.40777944232746,0.386316277054742,0.660733960007965
"combo_logscore","cpi_inflation","ye",1,0.0295024836925462,0.136600692310938,0.261032319353289
"combo_logscore","cpi_inflation","ye",10,-2.99311758902166,1.54249070657978,2.51082742657296
"combo_logscore","cpi_inflation","ye",11,-3.02229649095996,1.60881747564744,2.57408537543005
"combo_logscore","cpi_inflation","ye",12,-3.09965733921205,1.63491918906325,2.60146071001031
"combo_logscore","cpi_inflation","ye",2,-0.663116002948766,0.29430448818223,0.567452237371046
