"member","variable","h","point","lo90","hi90","origin_date"
"combo_bma","unemp_rate",7,4.40735732058831,3.03142115593354,5.27991688767654,2026-01-01
"combo_bma","unemp_rate",8,4.4549100807632,3.1958410176247,5.77564188846726,2026-01-01
"combo_bma","unemp_rate",9,4.45978566673412,2.99099021971666,5.93525944423863,2026-01-01
"combo_bma","unemp_rate",10,4.41778492503926,2.64838221464406,5.83897570585311,2026-01-01
"combo_bma","unemp_rate",11,4.46386284380717,2.31584076362069,6.03179025004505,2026-01-01
"combo_bma","unemp_rate",12,4.54993040354831,2.66735154557474,6.08829576074553,2026-01-01
"combo_bma","cash_rate",1,3.87181927759029,3.47165772597876,4.21356801866429,2026-01-01
"combo_bma","cash_rate",2,3.87758960308553,3.25148791604293,4.4003448673386,2026-01-01
"combo_bma","cash_rate",3,3.88029494434565,2.86716738818774,4.82768040732343,2026-01-01
"combo_bma","cash_rate",4,3.88222309773002,2.74476387771758,5.01772950499368,2026-01-01
"combo_bma","cash_rate",5,3.86239981408599,2.5103666822506,5.33644480992803,2026-01-01
"combo_bma","cash_rate",6,3.80460162129028,2.24273119604195,5.37185168960347,2026-01-01
"combo_bma","cash_rate",7,3.74791210994575,2.27260171230442,5.42708050718909,2026-01-01
"combo_bma","cash_rate",8,3.89597918744636,2.07968977359504,5.54475080923903,2026-01-01
"combo_bma","cash_rate",9,3.83874645989292,2.03694800140014,5.54658007558106,2026-01-01
"combo_bma","cash_rate",10,3.84608582251673,1.89497900078126,5.57531242040914,2026-01-01
"combo_bma","cash_rate",11,3.85868891188273,1.97120650043484,5.73595827096082,2026-01-01
"combo_bma","cash_rate",12,3.73100379595887,1.76150028323492,5.70746077067893,2026-01-01
"small_minn","gdp_growth",1,0.656729211312185,-0.216483455450422,1.36457576785321,2026-01-01
"small_minn","gdp_growth",2,0.612504222394866,-0.203194415343881,1.39802871698493,2026-01-01
"small_minn","gdp_growth",3,0.683896286322974,-0.139807985778184,1.3323095730414,2026-01-01
"small_minn","gdp_growth",4,0.698484748130895,-0.045991326620715,1.44275345868452,2026-01-01
"small_minn","gdp_growth",5,0.690703015504424,-0.183883110786959,1.4565893008036,2026-01-01
"small_minn","gdp_growth",6,0.700288004074992,-0.09404116684613,1.29211071449101,2026-01-01
"small_minn","gdp_growth",7,0.570256461428306,-0.113256102681496,1.39373388052173,2026-01-01
"small_minn","gdp_growth",8,0.633215942700733,-0.103502125756623,1.40416032058523,2026-01-01
"small_minn","gdp_growth",9,0.63114561534795,-0.164850438715794,1.54053792426553,2026-01-01
"small_minn","gdp_growth",10,0.659894813190692,-0.208070333899763,1.42787583912485,2026-01-01
